"Make","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","selling_price_dollars","age","selling_price_binary"
"Maruti",2014,450000,145500,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,5850,8,"Yes"
"Skoda",2014,370000,120000,"Diesel","Individual","Manual","Second Owner",21.14,1498,103.52,5,4810,8,"Yes"
"Honda",2006,158000,140000,"Petrol","Individual","Manual","Third Owner",17.7,1497,78,5,2054,16,"Yes"
"Hyundai",2010,225000,127000,"Diesel","Individual","Manual","First Owner",23,1396,90,5,2925,12,"Yes"
"Maruti",2007,130000,120000,"Petrol","Individual","Manual","First Owner",16.1,1298,88.2,5,1690,15,"Yes"
"Hyundai",2017,440000,45000,"Petrol","Individual","Manual","First Owner",20.14,1197,81.86,5,5720,5,"Yes"
"Maruti",2007,96000,175000,"LPG","Individual","Manual","First Owner",17.3,1061,57.5,5,1248,15,"Yes"
"Maruti",2001,45000,5000,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,585,21,"Yes"
"Toyota",2011,350000,90000,"Diesel","Individual","Manual","First Owner",23.59,1364,67.1,5,4550,11,"Yes"
"Ford",2013,2e+05,169000,"Diesel","Individual","Manual","First Owner",20,1399,68.1,5,2600,9,"Yes"
"Renault",2014,5e+05,68000,"Diesel","Individual","Manual","Second Owner",19.01,1461,108.45,5,6500,8,"Yes"
"Maruti",2005,92000,1e+05,"Petrol","Individual","Manual","Second Owner",17.3,993,60,5,1196,17,"Yes"
"Maruti",2009,280000,140000,"Diesel","Individual","Manual","Second Owner",19.3,1248,73.9,5,3640,13,"Yes"
"Maruti",2009,180000,90000,"Petrol","Individual","Manual","Second Owner",18.9,1061,67,5,2340,13,"Yes"
"Mahindra",2016,4e+05,40000,"Petrol","Individual","Manual","First Owner",18.15,1198,82,5,5200,6,"Yes"
"Maruti",2016,778000,70000,"Diesel","Individual","Manual","Second Owner",24.52,1248,88.5,7,10114,6,"No"
"Hyundai",2012,5e+05,53000,"Diesel","Individual","Manual","Second Owner",23,1396,90,5,6500,10,"Yes"
"Maruti",2002,150000,80000,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,1950,20,"Yes"
"Hyundai",2016,680000,1e+05,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,8840,6,"Yes"
"Mahindra",2011,174000,1e+05,"Diesel","Individual","Manual","Second Owner",21,1461,64.1,5,2262,11,"Yes"
"Honda",2017,950000,50000,"Diesel","Individual","Manual","First Owner",25.5,1498,98.6,5,12350,5,"No"
"Maruti",2015,525000,40000,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,6825,7,"Yes"
